sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"BPGM","Approved symbol","BPGM","bisphosphoglycerate mutase","HGNC:1093","7q33"
"WDR44","Approved symbol","WDR44","WD repeat domain 44","HGNC:30512","Xq24"
"AICDA","Approved symbol","AICDA","activation induced cytidine deaminase","HGNC:13203","12p13.31"
"AP3S1","Approved symbol","AP3S1","adaptor related protein complex 3 subunit sigma 1","HGNC:2013","5q22.3-q23.1"
"HMOX2","Approved symbol","HMOX2","heme oxygenase 2","HGNC:5014","16p13.3"
"CSPG5","Approved symbol","CSPG5","chondroitin sulfate proteoglycan 5","HGNC:2467","3p21.31"
"ETHE1","Approved symbol","ETHE1","ETHE1 persulfide dioxygenase","HGNC:23287","19q13.31"
"SLC9A2","Approved symbol","SLC9A2","solute carrier family 9 member A2","HGNC:11072","2q12.1"
"PON3","Approved symbol","PON3","paraoxonase 3","HGNC:9206","7q21.3"
"TIPARP","Approved symbol","TIPARP","TCDD inducible poly(ADP-ribose) polymerase","HGNC:23696","3q25.31"
"DIP13B","Alias symbol","APPL2","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2","HGNC:18242","12q23.3"
"SCD","Approved symbol","SCD","stearoyl-CoA desaturase","HGNC:10571","10q24.31"
"SCD","Alias symbol","SLC22A5","solute carrier family 22 member 5","HGNC:10969","5q31.1"
"NUMB","Approved symbol","NUMB","NUMB endocytic adaptor protein","HGNC:8060","14q24.3"
"CHCHD2","Approved symbol","CHCHD2","coiled-coil-helix-coiled-coil-helix domain containing 2","HGNC:21645","7p11.2"
"HAL","Approved symbol","HAL","histidine ammonia-lyase","HGNC:4806","12q23.1"
"HSD17B1","Approved symbol","HSD17B1","hydroxysteroid 17-beta dehydrogenase 1","HGNC:5210","17q21.2"
"DNAJD1","Previous symbol","DNAJC15","DnaJ heat shock protein family (Hsp40) member C15","HGNC:20325","13q14.11"
"TBX10","Approved symbol","TBX10","T-box transcription factor 10","HGNC:11593","11q13.2"
"GORASP2","Approved symbol","GORASP2","golgi reassembly stacking protein 2","HGNC:17500","2q31.1"
"GPR126","Previous symbol","ADGRG6","adhesion G protein-coupled receptor G6","HGNC:13841","6q24.2"
"SLC22A18","Approved symbol","SLC22A18","solute carrier family 22 member 18","HGNC:10964","11p15.4"
"BBS1","Approved symbol","BBS1","Bardet-Biedl syndrome 1","HGNC:966","11q13.2"
"UBL3","Approved symbol","UBL3","ubiquitin like 3","HGNC:12504","13q12.3"
"RABIF","Approved symbol","RABIF","RAB interacting factor","HGNC:9797","1q32.1"
"FLJ13639","Alias symbol","DHRS12","dehydrogenase/reductase 12","HGNC:25832","13q14.3"
"DNCI2","Previous symbol","DYNC1I2","dynein cytoplasmic 1 intermediate chain 2","HGNC:2964","2q31.1"
"PDCD6","Approved symbol","PDCD6","programmed cell death 6","HGNC:8765","5p15.33"
"SDAD1","Approved symbol","SDAD1","SDA1 domain containing 1","HGNC:25537","4q21.1"
"LHFP","Previous symbol","LHFPL6","LHFPL tetraspan subfamily member 6","HGNC:6586","13q13.3-q14.11"
"FLJ10099","Alias symbol","TMEM248","transmembrane protein 248","HGNC:25476","7q11.21"
"PSMD14","Approved symbol","PSMD14","proteasome 26S subunit, non-ATPase 14","HGNC:16889","2q24.2"
"HSPC049","Alias symbol","WDR91","WD repeat domain 91","HGNC:24997","7q33"
"DNALI1","Approved symbol","DNALI1","dynein axonemal light intermediate chain 1","HGNC:14353","1p34.3"
"MGAM","Approved symbol","MGAM","maltase-glucoamylase","HGNC:7043","7q34"
"MAT2A","Approved symbol","MAT2A","methionine adenosyltransferase 2A","HGNC:6904","2p11.2"
"SOX2","Approved symbol","SOX2","SRY-box transcription factor 2","HGNC:11195","3q26.33"
"ARG1","Approved symbol","ARG1","arginase 1","HGNC:663","6q23.2"
"ARG1","Alias symbol","TINAGL1","tubulointerstitial nephritis antigen like 1","HGNC:19168","1p35.2"
"PSAT1","Approved symbol","PSAT1","phosphoserine aminotransferase 1","HGNC:19129","9q21.2"
"GDF15","Approved symbol","GDF15","growth differentiation factor 15","HGNC:30142","19p13.11"
"FLJ23186","Alias symbol","C3orf52","chromosome 3 open reading frame 52","HGNC:26255","3q13.2"
"NDUFB1","Approved symbol","NDUFB1","NADH:ubiquinone oxidoreductase subunit B1","HGNC:7695","14q31.3"
"SLC9A3R2","Approved symbol","SLC9A3R2","SLC9A3 regulator 2","HGNC:11076","16p13.3"
"NUDT4","Approved symbol","NUDT4","nudix hydrolase 4","HGNC:8051","12q22"
"TFCP2L3","Previous symbol","GRHL2","grainyhead like transcription factor 2","HGNC:2799","8q22.3"
"SEC63","Approved symbol","SEC63","SEC63 homolog, protein translocation regulator","HGNC:21082","6q21"
"ATP6V0C","Approved symbol","ATP6V0C","ATPase H+ transporting V0 subunit c","HGNC:855","16p13.3"
"CHST1","Approved symbol","CHST1","carbohydrate sulfotransferase 1","HGNC:1969","11p11.2"
"SULT2B1","Approved symbol","SULT2B1","sulfotransferase family 2B member 1","HGNC:11459","19q13.33"
"GOLGA5","Approved symbol","GOLGA5","golgin A5","HGNC:4428","14q32.12"
"P2RY2","Approved symbol","P2RY2","purinergic receptor P2Y2","HGNC:8541","11q13.4"
"OXA1L","Approved symbol","OXA1L","OXA1L mitochondrial inner membrane protein","HGNC:8526","14q11.2"
"ATP2A1","Approved symbol","ATP2A1","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1","HGNC:811","16p11.2"
"LHX2","Approved symbol","LHX2","LIM homeobox 2","HGNC:6594","9q33.3"
"CD99","Approved symbol","CD99","CD99 molecule (Xg blood group)","HGNC:7082","Xp22.32 and Yp11.3"
"CLIC3","Approved symbol","CLIC3","chloride intracellular channel 3","HGNC:2064","9q34.3"
"RARS","Previous symbol","RARS1","arginyl-tRNA synthetase 1","HGNC:9870","5q34"
"RAB25","Approved symbol","RAB25","RAB25, member RAS oncogene family","HGNC:18238","1q22"
"DNAJB2","Approved symbol","DNAJB2","DnaJ heat shock protein family (Hsp40) member B2","HGNC:5228","2q35"
"CAPN2","Approved symbol","CAPN2","calpain 2","HGNC:1479","1q41"
"ZAP128","Alias symbol","ACOT2","acyl-CoA thioesterase 2","HGNC:18431","14q24.3"
"CLTC","Approved symbol","CLTC","clathrin heavy chain","HGNC:2092","17q23.1"
"ASL","Approved symbol","ASL","argininosuccinate lyase","HGNC:746","7q11.21"
"CNOT2","Approved symbol","CNOT2","CCR4-NOT transcription complex subunit 2","HGNC:7878","12q15"
"KCNH4","Approved symbol","KCNH4","potassium voltage-gated channel subfamily H member 4","HGNC:6253","17q21.2"
"KLF4","Approved symbol","KLF4","Kruppel like factor 4","HGNC:6348","9q31.2"
"NDUFB3","Approved symbol","NDUFB3","NADH:ubiquinone oxidoreductase subunit B3","HGNC:7698","2q33.1"
"NXPH4","Approved symbol","NXPH4","neurexophilin 4","HGNC:8078","12q13.3"
"ABLIM1","Approved symbol","ABLIM1","actin binding LIM protein 1","HGNC:78","10q25.3"
"FGF13","Approved symbol","FGF13","fibroblast growth factor 13","HGNC:3670","Xq26.3-q27.1"
"FLJ22833","Alias symbol","NABP1","nucleic acid binding protein 1","HGNC:26232","2q32.3"
"DMXL1","Approved symbol","DMXL1","Dmx like 1","HGNC:2937","5q23.1"
"GRP","Approved symbol","GRP","gastrin releasing peptide","HGNC:4605","18q21.32"
"GRP","Alias symbol","UCMA","upper zone of growth plate and cartilage matrix associated","HGNC:25205","10p13"
"GRP","Alias symbol","LGALSL","galectin like","HGNC:25012","2p14"
"SPOCK","Previous symbol","SPOCK1","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1","HGNC:11251","5q31.2"
"CTNNA1","Approved symbol","CTNNA1","catenin alpha 1","HGNC:2509","5q31.2"
"MAGEC1","Approved symbol","MAGEC1","MAGE family member C1","HGNC:6812","Xq27.2"
"FEZ1","Approved symbol","FEZ1","fasciculation and elongation protein zeta 1","HGNC:3659","11q24.2"
"FEZ1","Alias symbol","LZTS1","leucine zipper tumor suppressor 1","HGNC:13861","8p21.3"
"PPYR1","Previous symbol","NPY4R","neuropeptide Y receptor Y4","HGNC:9329","10q11.22"
"CYP20A1","Approved symbol","CYP20A1","cytochrome P450 family 20 subfamily A member 1","HGNC:20576","2q33.2"
"LOC63929","Unmatched","","","",""
"COL14A1","Approved symbol","COL14A1","collagen type XIV alpha 1 chain","HGNC:2191","8q24.12"
"CACNB4","Approved symbol","CACNB4","calcium voltage-gated channel auxiliary subunit beta 4","HGNC:1404","2q23.3"
"PTGER4","Approved symbol","PTGER4","prostaglandin E receptor 4","HGNC:9596","5p13.1"
"TAF10","Approved symbol","TAF10","TATA-box binding protein associated factor 10","HGNC:11543","11p15.4"
"GSTZ1","Approved symbol","GSTZ1","glutathione S-transferase zeta 1","HGNC:4643","14q24.3"
"STEAP","Previous symbol","STEAP1","STEAP family member 1","HGNC:11378","7q21.13"
"CAPZB","Approved symbol","CAPZB","capping actin protein of muscle Z-line subunit beta","HGNC:1491","1p36.13"
"SNRPF","Approved symbol","SNRPF","small nuclear ribonucleoprotein polypeptide F","HGNC:11162","12q23.1"
"DSG1","Approved symbol","DSG1","desmoglein 1","HGNC:3048","18q12.1"
"LGALS3","Approved symbol","LGALS3","galectin 3","HGNC:6563","14q22.3"
"ROBO1","Approved symbol","ROBO1","roundabout guidance receptor 1","HGNC:10249","3p12.3"
"TNFRSF21","Approved symbol","TNFRSF21","TNF receptor superfamily member 21","HGNC:13469","6p12.3"
"GUCY1A3","Previous symbol","GUCY1A1","guanylate cyclase 1 soluble subunit alpha 1","HGNC:4685","4q32.1"
"CXXC4","Approved symbol","CXXC4","CXXC finger protein 4","HGNC:24593","4q24"
"ACCN2","Previous symbol","ASIC1","acid sensing ion channel subunit 1","HGNC:100","12q13.12"
"FLJ22386","Alias symbol","ROGDI","rogdi atypical leucine zipper","HGNC:29478","16p13.3"
"SGCG","Approved symbol","SGCG","sarcoglycan gamma","HGNC:10809","13q12.12"
"GSTT1","Approved symbol","GSTT1","glutathione S-transferase theta 1","HGNC:4641","22q11.23 alternate reference locus"
"ACP6","Approved symbol","ACP6","acid phosphatase 6, lysophosphatidic","HGNC:29609","1q21.2"
"SLC35A1","Approved symbol","SLC35A1","solute carrier family 35 member A1","HGNC:11021","6q15"
"PDCD2","Approved symbol","PDCD2","programmed cell death 2","HGNC:8762","6q27"
"SMA3","Alias symbol","GUSBP14","GUSB pseudogene 14","HGNC:54496","5q13.2"
"SMA3","Alias symbol","SMN1","survival of motor neuron 1, telomeric","HGNC:11117","5q13.2"
"PGRMC2","Approved symbol","PGRMC2","progesterone receptor membrane component 2","HGNC:16089","4q28.2"
"FLJ23129","Alias symbol","DNAI4","dynein axonemal intermediate chain 4","HGNC:26252","1p31.3"
"PSMA2","Approved symbol","PSMA2","proteasome 20S subunit alpha 2","HGNC:9531","7p14.1"
"PHF7","Approved symbol","PHF7","PHD finger protein 7","HGNC:18458","3p21.1"
"CTDSP1","Approved symbol","CTDSP1","CTD small phosphatase 1","HGNC:21614","2q35"
"MSRB","Previous symbol","MSRB2","methionine sulfoxide reductase B2","HGNC:17061","10p12.2"
"AKAP5","Approved symbol","AKAP5","A-kinase anchoring protein 5","HGNC:375","14q23.3"
"CA10","Approved symbol","CA10","carbonic anhydrase 10","HGNC:1369","17q21.33-q22"
"EBI3","Approved symbol","EBI3","Epstein-Barr virus induced 3","HGNC:3129","19p13.3"
"MRPS17","Approved symbol","MRPS17","mitochondrial ribosomal protein S17","HGNC:14047","7p11.2"
"NUDT15","Approved symbol","NUDT15","nudix hydrolase 15","HGNC:23063","13q14.2"
"CDC42SE1","Approved symbol","CDC42SE1","CDC42 small effector 1","HGNC:17719","1q21.3"
"D2LIC","Alias symbol","DYNC2LI1","dynein cytoplasmic 2 light intermediate chain 1","HGNC:24595","2p21"
"RNPEP","Approved symbol","RNPEP","arginyl aminopeptidase","HGNC:10078","1q32.1"
"BSPRY","Approved symbol","BSPRY","B-box and SPRY domain containing","HGNC:18232","9q32"
"MASP2","Approved symbol","MASP2","MBL associated serine protease 2","HGNC:6902","1p36.22"
"PNLIPRP1","Approved symbol","PNLIPRP1","pancreatic lipase related protein 1","HGNC:9156","10q25.3"
"ITGA3","Approved symbol","ITGA3","integrin subunit alpha 3","HGNC:6139","17q21.33"
"PEX3","Approved symbol","PEX3","peroxisomal biogenesis factor 3","HGNC:8858","6q24.2"
"MARCKSL1","Approved symbol","MARCKSL1","MARCKS like 1","HGNC:7142","1p35.1"
"LRRC16","Previous symbol","CARMIL1","capping protein regulator and myosin 1 linker 1","HGNC:21581","6p22.2"
"RBKS","Approved symbol","RBKS","ribokinase","HGNC:30325","2p23.2"
"DACH1","Approved symbol","DACH1","dachshund family transcription factor 1","HGNC:2663","13q21.33"
"YPEL5","Approved symbol","YPEL5","yippee like 5","HGNC:18329","2p23.1"
"HAT1","Approved symbol","HAT1","histone acetyltransferase 1","HGNC:4821","2q31.1"
"OTUB2","Approved symbol","OTUB2","OTU deubiquitinase, ubiquitin aldehyde binding 2","HGNC:20351","14q32.12"
"ENTPD2","Approved symbol","ENTPD2","ectonucleoside triphosphate diphosphohydrolase 2","HGNC:3364","9q34.3"
"TYRP1","Approved symbol","TYRP1","tyrosinase related protein 1","HGNC:12450","9p23"
"KCTD15","Approved symbol","KCTD15","potassium channel tetramerization domain containing 15","HGNC:23297","19q13.11"
"UBE2L3","Approved symbol","UBE2L3","ubiquitin conjugating enzyme E2 L3","HGNC:12488","22q11.21"
"EDG7","Previous symbol","LPAR3","lysophosphatidic acid receptor 3","HGNC:14298","1p22.3"
"SKP1A","Previous symbol","SKP1","S-phase kinase associated protein 1","HGNC:10899","5q31.1"
"MID1IP1","Approved symbol","MID1IP1","MID1 interacting protein 1","HGNC:20715","Xp11.4"
"OIP5","Approved symbol","OIP5","Opa interacting protein 5","HGNC:20300","15q15.1"
"RIF1","Approved symbol","RIF1","replication timing regulatory factor 1","HGNC:23207","2q23.3"
"RIF1","Alias symbol","INSL6","insulin like 6","HGNC:6089","9p24.1"
"RIF1","Alias symbol","LRIF1","ligand dependent nuclear receptor interacting factor 1","HGNC:30299","1p13.3"
"KRT24","Approved symbol","KRT24","keratin 24","HGNC:18527","17q21.2"
"F2RL1","Approved symbol","F2RL1","F2R like trypsin receptor 1","HGNC:3538","5q13.3"
"CDH2","Approved symbol","CDH2","cadherin 2","HGNC:1759","18q12.1"
"MOAP1","Approved symbol","MOAP1","modulator of apoptosis 1","HGNC:16658","14q32.12"
"KIAA1970","Alias symbol","EARS2","glutamyl-tRNA synthetase 2, mitochondrial","HGNC:29419","16p12.2"
"CPEB3","Approved symbol","CPEB3","cytoplasmic polyadenylation element binding protein 3","HGNC:21746","10q23.32"
"KRT1","Approved symbol","KRT1","keratin 1","HGNC:6412","12q13.13"
"COIL","Approved symbol","COIL","coilin","HGNC:2184","17q22"
"SCG3","Approved symbol","SCG3","secretogranin III","HGNC:13707","15q21.2"
"SCG3","Alias symbol","SGCG","sarcoglycan gamma","HGNC:10809","13q12.12"
"H2AFV","Previous symbol","H2AZ2","H2A.Z variant histone 2","HGNC:20664","7p13"
"ATP5J","Previous symbol","ATP5PF","ATP synthase peripheral stalk subunit F6","HGNC:847","21q21.3"
"LOC133619","Unmatched","","","",""
"NIPSNAP1","Approved symbol","NIPSNAP1","nipsnap homolog 1","HGNC:7827","22q12.2"
"RIPK1","Approved symbol","RIPK1","receptor interacting serine/threonine kinase 1","HGNC:10019","6p25.2"
"ABAT","Approved symbol","ABAT","4-aminobutyrate aminotransferase","HGNC:23","16p13.2"
"LRIG1","Approved symbol","LRIG1","leucine rich repeats and immunoglobulin like domains 1","HGNC:17360","3p14.1"
"BSCL2","Approved symbol","BSCL2","BSCL2 lipid droplet biogenesis associated, seipin","HGNC:15832","11q12.3"
"BDKRB2","Approved symbol","BDKRB2","bradykinin receptor B2","HGNC:1030","14q32.2"
"AACS","Approved symbol","AACS","acetoacetyl-CoA synthetase","HGNC:21298","12q24.31"
"CX3CR1","Approved symbol","CX3CR1","C-X3-C motif chemokine receptor 1","HGNC:2558","3p22.2"
"CCT6B","Approved symbol","CCT6B","chaperonin containing TCP1 subunit 6B","HGNC:1621","17q12"
"NFATC1","Approved symbol","NFATC1","nuclear factor of activated T cells 1","HGNC:7775","18q23"
"CGI-121","Alias symbol","TPRKB","TP53RK binding protein","HGNC:24259","2p13.1"
"MEST","Approved symbol","MEST","mesoderm specific transcript","HGNC:7028","7q32.2"
"DAP","Approved symbol","DAP","death associated protein","HGNC:2672","5p15.2"
"DAP","Alias symbol","IAPP","islet amyloid polypeptide","HGNC:5329","12p12.1"
"DAP","Alias symbol","DNPEP","aspartyl aminopeptidase","HGNC:2981","2q35"
"HSD17B4","Approved symbol","HSD17B4","hydroxysteroid 17-beta dehydrogenase 4","HGNC:5213","5q23.1"
"PCK2","Approved symbol","PCK2","phosphoenolpyruvate carboxykinase 2, mitochondrial","HGNC:8725","14q11.2-q12"
"COMMD3","Approved symbol","COMMD3","COMM domain containing 3","HGNC:23332","10p12.2"
"HRAS","Approved symbol","HRAS","HRas proto-oncogene, GTPase","HGNC:5173","11p15.5"
"FLJ20321","Alias symbol","CASZ1","castor zinc finger 1","HGNC:26002","1p36.22"
"SLC22A17","Approved symbol","SLC22A17","solute carrier family 22 member 17","HGNC:23095","14q11.2"
"CAB39L","Approved symbol","CAB39L","calcium binding protein 39 like","HGNC:20290","13q14.2"
"TRIM21","Approved symbol","TRIM21","tripartite motif containing 21","HGNC:11312","11p15.4"
"TRIM68","Approved symbol","TRIM68","tripartite motif containing 68","HGNC:21161","11p15.4"
"LIPT1","Approved symbol","LIPT1","lipoyltransferase 1","HGNC:29569","2q11.2"
"CFL1","Approved symbol","CFL1","cofilin 1","HGNC:1874","11q13.1"
"POR","Approved symbol","POR","cytochrome p450 oxidoreductase","HGNC:9208","7q11.23"
"POR","Alias symbol","PORCN","porcupine O-acyltransferase","HGNC:17652","Xp11.23"
"KCND2","Approved symbol","KCND2","potassium voltage-gated channel subfamily D member 2","HGNC:6238","7q31.31"
"DPP3","Approved symbol","DPP3","dipeptidyl peptidase 3","HGNC:3008","11q13.2"
"HIST1H2BC","Previous symbol","H2BC4","H2B clustered histone 4","HGNC:4757","6p22.2"
"EHMT1","Approved symbol","EHMT1","euchromatic histone lysine methyltransferase 1","HGNC:24650","9q34.3"
"COL9A2","Approved symbol","COL9A2","collagen type IX alpha 2 chain","HGNC:2218","1p34.2"
"CD1C","Approved symbol","CD1C","CD1c molecule","HGNC:1636","1q23.1"
"DHTKD1","Approved symbol","DHTKD1","dehydrogenase E1 and transketolase domain containing 1","HGNC:23537","10p14"
"AGA","Approved symbol","AGA","aspartylglucosaminidase","HGNC:318","4q34.3"
"DSTN","Approved symbol","DSTN","destrin, actin depolymerizing factor","HGNC:15750","20p12.1"
"SPATA2","Approved symbol","SPATA2","spermatogenesis associated 2","HGNC:14681","20q13.13"
"KCNS3","Approved symbol","KCNS3","potassium voltage-gated channel modifier subfamily S member 3","HGNC:6302","2p24.2"
"E2IG5","Alias symbol","FAM162A","family with sequence similarity 162 member A","HGNC:17865","3q21.1"
"ADIPOR1","Approved symbol","ADIPOR1","adiponectin receptor 1","HGNC:24040","1q32.1"
"NIT1","Approved symbol","NIT1","nitrilase 1","HGNC:7828","1q23.3"
"S100A12","Approved symbol","S100A12","S100 calcium binding protein A12","HGNC:10489","1q21.3"
"PRKD1","Approved symbol","PRKD1","protein kinase D1","HGNC:9407","14q12"
"ATP2C1","Approved symbol","ATP2C1","ATPase secretory pathway Ca2+ transporting 1","HGNC:13211","3q22.1"
"WDR37","Approved symbol","WDR37","WD repeat domain 37","HGNC:31406","10p15.3"
"CGI-119","Alias symbol","TMBIM4","transmembrane BAX inhibitor motif containing 4","HGNC:24257","12q14.3"
"CDH10","Approved symbol","CDH10","cadherin 10","HGNC:1749","5p14.2-p14.1"
"CTSG","Approved symbol","CTSG","cathepsin G","HGNC:2532","14q12"
"ACTR1A","Approved symbol","ACTR1A","actin related protein 1A","HGNC:167","10q24.32"
"TBX6","Approved symbol","TBX6","T-box transcription factor 6","HGNC:11605","16p11.2"
"FLJ10747","Alias symbol","MACO1","macoilin 1","HGNC:25572","1p36.11"
"NME1","Approved symbol","NME1","NME/NM23 nucleoside diphosphate kinase 1","HGNC:7849","17q21.33"
"NME1","Alias symbol","RMRP","RNA component of mitochondrial RNA processing endoribonuclease","HGNC:10031","9p13.3"
"GNG12","Approved symbol","GNG12","G protein subunit gamma 12","HGNC:19663","1p31.3"
"GBP2","Approved symbol","GBP2","guanylate binding protein 2","HGNC:4183","1p22.2"
"EFNA4","Approved symbol","EFNA4","ephrin A4","HGNC:3224","1q21.3"
"HYPK","Approved symbol","HYPK","huntingtin interacting protein K","HGNC:18418","15q15.3"
"DUSP8","Approved symbol","DUSP8","dual specificity phosphatase 8","HGNC:3074","11p15.5"
"SMCY","Previous symbol","KDM5D","lysine demethylase 5D","HGNC:11115","Yq11.223"
"PSMB7","Approved symbol","PSMB7","proteasome 20S subunit beta 7","HGNC:9544","9q33.3"
"AP1S1","Approved symbol","AP1S1","adaptor related protein complex 1 subunit sigma 1","HGNC:559","7q22.1"
"EHHADH","Approved symbol","EHHADH","enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase","HGNC:3247","3q27.2"
"TDG","Approved symbol","TDG","thymine DNA glycosylase","HGNC:11700","12q23.3"
"DSC1","Approved symbol","DSC1","desmocollin 1","HGNC:3035","18q12.1"
"DSC1","Alias symbol","DSC3","desmocollin 3","HGNC:3037","18q12.1"
"PFC","Previous symbol","CFP","complement factor properdin","HGNC:8864","Xp11.23"
"GPX4","Approved symbol","GPX4","glutathione peroxidase 4","HGNC:4556","19p13.3"
"FLJ10094","Alias symbol","ENOX1","ecto-NOX disulfide-thiol exchanger 1","HGNC:25474","13q14.11"
"KIAA0274","Previous symbol","FIG4","FIG4 phosphoinositide 5-phosphatase","HGNC:16873","6q21"
"CD151","Approved symbol","CD151","CD151 molecule (Raph blood group)","HGNC:1630","11p15.5"
"STARD5","Approved symbol","STARD5","StAR related lipid transfer domain containing 5","HGNC:18065","15q25.1"
"SPAG5","Approved symbol","SPAG5","sperm associated antigen 5","HGNC:13452","17q11.2"
"CD24","Approved symbol","CD24","CD24 molecule","HGNC:1645","6q21"
"SLC5A6","Approved symbol","SLC5A6","solute carrier family 5 member 6","HGNC:11041","2p23.3"
"GUCY2D","Approved symbol","GUCY2D","guanylate cyclase 2D, retinal","HGNC:4689","17p13.1"
"UQCRC1","Approved symbol","UQCRC1","ubiquinol-cytochrome c reductase core protein 1","HGNC:12585","3p21.31"
"PIP5K2B","Previous symbol","PIP4K2B","phosphatidylinositol-5-phosphate 4-kinase type 2 beta","HGNC:8998","17q12"
"MEOX2","Approved symbol","MEOX2","mesenchyme homeobox 2","HGNC:7014","7p21.2"
"ZNF313","Previous symbol","RNF114","ring finger protein 114","HGNC:13094","20q13.13"
"MKI67","Approved symbol","MKI67","marker of proliferation Ki-67","HGNC:7107","10q26.2"
"FLJ23548","Alias symbol","ARSJ","arylsulfatase family member J","HGNC:26286","4q26"
"RECQL5","Approved symbol","RECQL5","RecQ like helicase 5","HGNC:9950","17q25"
"ANXA3","Approved symbol","ANXA3","annexin A3","HGNC:541","4q21.21"
"FUT8","Approved symbol","FUT8","fucosyltransferase 8","HGNC:4019","14q23.3"
"FLJ10539","Alias symbol","SHQ1","SHQ1, H/ACA ribonucleoprotein assembly factor","HGNC:25543","3p13"
"CDK5RAP1","Approved symbol","CDK5RAP1","CDK5 regulatory subunit associated protein 1","HGNC:15880","20q11.21"
"DCP2","Approved symbol","DCP2","decapping mRNA 2","HGNC:24452","5q22.2"
"KLF2","Approved symbol","KLF2","Kruppel like factor 2","HGNC:6347","19p13.11"
"NPC1L1","Approved symbol","NPC1L1","NPC1 like intracellular cholesterol transporter 1","HGNC:7898","7p13"
"AGTR2","Approved symbol","AGTR2","angiotensin II receptor type 2","HGNC:338","Xq23"
"KRT12","Approved symbol","KRT12","keratin 12","HGNC:6414","17q21.2"
"CASP10","Approved symbol","CASP10","caspase 10","HGNC:1500","2q33.1"
"APXL","Previous symbol","SHROOM2","shroom family member 2","HGNC:630","Xp22.2"
"C1QTNF3","Approved symbol","C1QTNF3","C1q and TNF related 3","HGNC:14326","5p13.2"
"RNF14","Approved symbol","RNF14","ring finger protein 14","HGNC:10058","5q31.3"
"APEH","Approved symbol","APEH","acylaminoacyl-peptide hydrolase","HGNC:586","3p21.31"
"MATN2","Approved symbol","MATN2","matrilin 2","HGNC:6908","8q22.1-q22.2"
"PSMD1","Approved symbol","PSMD1","proteasome 26S subunit, non-ATPase 1","HGNC:9554","2q37.1"
"MGC3731","Alias symbol","NOL12","nucleolar protein 12","HGNC:28585","22q13.1"
"DCTN4","Approved symbol","DCTN4","dynactin subunit 4","HGNC:15518","5q33.1"
"NDUFC2","Approved symbol","NDUFC2","NADH:ubiquinone oxidoreductase subunit C2","HGNC:7706","11q14.1"
"C4.4A","Alias symbol","LYPD3","LY6/PLAUR domain containing 3","HGNC:24880","19q13.31"
"MGC29816","Alias symbol","CHMP7","charged multivesicular body protein 7","HGNC:28439","8p21.3"
"ZNF257","Approved symbol","ZNF257","zinc finger protein 257","HGNC:13498","19p12"
"ZDHHC14","Approved symbol","ZDHHC14","zinc finger DHHC-type palmitoyltransferase 14","HGNC:20341","6q25.3"
"PTGDS","Approved symbol","PTGDS","prostaglandin D2 synthase","HGNC:9592","9q34.3"
"SLC4A8","Approved symbol","SLC4A8","solute carrier family 4 member 8","HGNC:11034","12q13.13"
"ACTR10","Approved symbol","ACTR10","actin related protein 10","HGNC:17372","14q23.1"
"ETEA","Alias symbol","FAF2","Fas associated factor family member 2","HGNC:24666","5q35.2"
"PPP2R5A","Approved symbol","PPP2R5A","protein phosphatase 2 regulatory subunit B'alpha","HGNC:9309","1q32.3"
"RAP140","Alias symbol","TASOR","transcription activation suppressor","HGNC:30314","3p14.3"
"GMPPB","Approved symbol","GMPPB","GDP-mannose pyrophosphorylase B","HGNC:22932","3p21.31"
"FBP2","Approved symbol","FBP2","fructose-bisphosphatase 2","HGNC:3607","9q22.32"
"FBP2","Alias symbol","KHSRP","KH-type splicing regulatory protein","HGNC:6316","19p13.3"
"RTN3","Approved symbol","RTN3","reticulon 3","HGNC:10469","11q13"
"ACSL3","Approved symbol","ACSL3","acyl-CoA synthetase long chain family member 3","HGNC:3570","2q36.1"
"ATP5L","Previous symbol","ATP5MG","ATP synthase membrane subunit g","HGNC:14247","11q23.3"
"EGR1","Approved symbol","EGR1","early growth response 1","HGNC:3238","5q31.2"
"SRP19","Approved symbol","SRP19","signal recognition particle 19","HGNC:11300","5q22.2"
"RPP30","Approved symbol","RPP30","ribonuclease P/MRP subunit p30","HGNC:17688","10q23.31"
"ID2","Approved symbol","ID2","inhibitor of DNA binding 2","HGNC:5361","2p25.1"
"RAPGEF5","Approved symbol","RAPGEF5","Rap guanine nucleotide exchange factor 5","HGNC:16862","7p15.3"
"CCT6A","Approved symbol","CCT6A","chaperonin containing TCP1 subunit 6A","HGNC:1620","7p11.2"
"TFRC","Approved symbol","TFRC","transferrin receptor","HGNC:11763","3q29"
"TSAP6","Alias symbol","STEAP3","STEAP3 metalloreductase","HGNC:24592","2q14.2"
"ZNF443","Approved symbol","ZNF443","zinc finger protein 443","HGNC:20878","19p13.2"
"UBE2L6","Approved symbol","UBE2L6","ubiquitin conjugating enzyme E2 L6","HGNC:12490","11q12.1"
"RAB9P40","Alias symbol","RABEPK","Rab9 effector protein with kelch motifs","HGNC:16896","9q33.3"
"RAB21","Approved symbol","RAB21","RAB21, member RAS oncogene family","HGNC:18263","12q21.1"
